消费地点,日期,时间段,人数
好利来食品店,2019-04-01,07:00-08:00,283
好利来食品店,2019-04-01,08:00-09:00,28
好利来食品店,2019-04-01,09:00-10:00,200
好利来食品店,2019-04-01,10:00-11:00,22
好利来食品店,2019-04-01,11:00-12:00,58
好利来食品店,2019-04-01,12:00-13:00,97
好利来食品店,2019-04-01,13:00-14:00,24
好利来食品店,2019-04-01,14:00-15:00,49
好利来食品店,2019-04-01,15:00-16:00,12
好利来食品店,2019-04-01,16:00-17:00,175
好利来食品店,2019-04-01,17:00-18:00,58
好利来食品店,2019-04-01,18:00-19:00,71
好利来食品店,2019-04-01,19:00-20:00,66
好利来食品店,2019-04-01,20:00-21:00,46
好利来食品店,2019-04-01,21:00-22:00,87
好利来食品店,2019-04-01,22:00-23:00,38
好利来食品店,2019-04-02,07:00-08:00,275
好利来食品店,2019-04-02,08:00-09:00,30
好利来食品店,2019-04-02,09:00-10:00,114
好利来食品店,2019-04-02,10:00-11:00,7
好利来食品店,2019-04-02,11:00-12:00,58
好利来食品店,2019-04-02,12:00-13:00,86
好利来食品店,2019-04-02,13:00-14:00,17
好利来食品店,2019-04-02,14:00-15:00,59
好利来食品店,2019-04-02,15:00-16:00,16
好利来食品店,2019-04-02,16:00-17:00,117
好利来食品店,2019-04-02,17:00-18:00,73
好利来食品店,2019-04-02,18:00-19:00,70
好利来食品店,2019-04-02,19:00-20:00,38
好利来食品店,2019-04-02,20:00-21:00,30
好利来食品店,2019-04-02,21:00-22:00,36
好利来食品店,2019-04-02,22:00-23:00,38
好利来食品店,2019-04-03,07:00-08:00,288
好利来食品店,2019-04-03,08:00-09:00,15
好利来食品店,2019-04-03,09:00-10:00,74
好利来食品店,2019-04-03,10:00-11:00,4
好利来食品店,2019-04-03,11:00-12:00,49
好利来食品店,2019-04-03,12:00-13:00,72
好利来食品店,2019-04-03,13:00-14:00,23
好利来食品店,2019-04-03,14:00-15:00,52
好利来食品店,2019-04-03,15:00-16:00,16
好利来食品店,2019-04-03,16:00-17:00,111
好利来食品店,2019-04-03,17:00-18:00,61
好利来食品店,2019-04-03,18:00-19:00,101
好利来食品店,2019-04-03,19:00-20:00,61
好利来食品店,2019-04-03,20:00-21:00,29
好利来食品店,2019-04-03,21:00-22:00,101
好利来食品店,2019-04-03,22:00-23:00,66
好利来食品店,2019-04-04,07:00-08:00,338
好利来食品店,2019-04-04,08:00-09:00,28
好利来食品店,2019-04-04,09:00-10:00,101
好利来食品店,2019-04-04,10:00-11:00,15
好利来食品店,2019-04-04,11:00-12:00,58
好利来食品店,2019-04-04,12:00-13:00,91
好利来食品店,2019-04-04,13:00-14:00,28
好利来食品店,2019-04-04,14:00-15:00,37
