消费地点,日期,时间段,消费总金额
人文社科,2019-04-01,00:00-01:00,0.0
人文社科,2019-04-01,01:00-02:00,0.0
人文社科,2019-04-01,02:00-03:00,0.0
人文社科,2019-04-01,03:00-04:00,0.0
人文社科,2019-04-01,04:00-05:00,0.0
人文社科,2019-04-01,05:00-06:00,0.0
人文社科,2019-04-01,06:00-07:00,0.0
人文社科,2019-04-01,07:00-08:00,0.0
人文社科,2019-04-01,08:00-09:00,0.0
人文社科,2019-04-01,09:00-10:00,0.0
人文社科,2019-04-01,10:00-11:00,0.0
人文社科,2019-04-01,11:00-12:00,0.0
人文社科,2019-04-01,12:00-13:00,0.0
人文社科,2019-04-01,13:00-14:00,0.0
人文社科,2019-04-01,14:00-15:00,0.0
人文社科,2019-04-01,15:00-16:00,0.0
人文社科,2019-04-01,16:00-17:00,0.0
人文社科,2019-04-01,17:00-18:00,0.0
人文社科,2019-04-01,18:00-19:00,0.0
人文社科,2019-04-01,19:00-20:00,0.0
人文社科,2019-04-01,20:00-21:00,0.0
人文社科,2019-04-01,21:00-22:00,0.0
人文社科,2019-04-01,22:00-23:00,0.0
人文社科,2019-04-01,23:00-24:00,0.0
人文社科,2019-04-02,00:00-01:00,0.0
人文社科,2019-04-02,01:00-02:00,0.0
人文社科,2019-04-02,02:00-03:00,0.0
人文社科,2019-04-02,03:00-04:00,0.0
人文社科,2019-04-02,04:00-05:00,0.0
人文社科,2019-04-02,05:00-06:00,0.0
人文社科,2019-04-02,06:00-07:00,0.0
人文社科,2019-04-02,07:00-08:00,0.0
人文社科,2019-04-02,08:00-09:00,0.0
人文社科,2019-04-02,09:00-10:00,0.0
人文社科,2019-04-02,10:00-11:00,0.0
人文社科,2019-04-02,11:00-12:00,0.0
人文社科,2019-04-02,12:00-13:00,0.0
人文社科,2019-04-02,13:00-14:00,0.0
人文社科,2019-04-02,14:00-15:00,0.0
人文社科,2019-04-02,15:00-16:00,0.0
人文社科,2019-04-02,16:00-17:00,0.0
人文社科,2019-04-02,17:00-18:00,0.0
人文社科,2019-04-02,18:00-19:00,0.0
人文社科,2019-04-02,19:00-20:00,0.0
人文社科,2019-04-02,20:00-21:00,0.0
人文社科,2019-04-02,21:00-22:00,0.0
人文社科,2019-04-02,22:00-23:00,0.0
人文社科,2019-04-02,23:00-24:00,0.0
人文社科,2019-04-03,00:00-01:00,0.0
人文社科,2019-04-03,01:00-02:00,0.0
人文社科,2019-04-03,02:00-03:00,0.0
人文社科,2019-04-03,03:00-04:00,0.0
人文社科,2019-04-03,04:00-05:00,0.0
人文社科,2019-04-03,05:00-06:00,0.0
人文社科,2019-04-03,06:00-07:00,0.0
人文社科,2019-04-03,07:00-08:00,0.0
人文社科,2019-04-03,08:00-09:00,0.0
人文社科,2019-04-03,09:00-10:00,0.0
人文社科,2019-04-03,10:00-11:00,0.0
人文社科,2019-04-03,11:00-12:00,0.0
